Address,Date
黄浦区鲁班路776弄,['2022-04-05']
黄浦区鲁班路778弄,['2022-04-05']
黄浦区陆家浜路1235弄,['2022-04-05']
黄浦区陆家浜路305弄,"['2022-04-05', '2022-04-03']"
黄浦区陆家浜路525号,['2022-04-05']
黄浦区露香园路166号,['2022-04-05']
黄浦区露香园路18号,['2022-04-05']
黄浦区露香园路45弄,['2022-04-05']
黄浦区露香园路88弄,"['2022-04-05', '2022-04-03']"
黄浦区马当路320号,['2022-04-05']
黄浦区马当路418弄,['2022-04-05']
黄浦区马当路444号,"['2022-04-05', '2022-04-04']"
黄浦区茂名南路169弄,['2022-04-05']
黄浦区茂名南路58号,"['2022-04-05', '2022-04-04']"
黄浦区蒙自路395弄,"['2022-04-05', '2022-04-04']"
黄浦区蒙自路490弄,"['2022-04-05', '2022-04-04', '2022-04-01', '2022-03-29']"
黄浦区蒙自路601弄,"['2022-04-05', '2022-04-03', '2022-03-27', '2022-03-24']"
黄浦区蒙自西路14号,"['2022-04-05', '2022-03-23']"
黄浦区蒙自西路2号,"['2022-04-05', '2022-04-03']"
黄浦区梦花街113号,['2022-04-05']
黄浦区梦花街115号,['2022-04-05']
黄浦区梦花街13弄,"['2022-04-05', '2022-04-02', '2022-03-30']"
黄浦区梦花街151号,"['2022-04-05', '2022-04-02']"
黄浦区梦花街163弄,"['2022-04-05', '2022-04-03', '2022-04-02', '2022-04-01', '2022-03-29']"
黄浦区梦花街185号,['2022-04-05']
黄浦区梦花街18弄,['2022-04-05']
黄浦区梦花街234号,"['2022-04-05', '2022-03-29']"
黄浦区梦花街36号,['2022-04-05']
黄浦区梦花街57弄,"['2022-04-05', '2022-03-29']"
黄浦区梦花街66弄,['2022-04-05']
黄浦区梦花街73弄,"['2022-04-05', '2022-03-29']"
黄浦区梦花街78弄,"['2022-04-05', '2022-04-02', '2022-03-29']"
黄浦区梦花街79号,"['2022-04-05', '2022-03-29']"
黄浦区梦花街82号,['2022-04-05']
黄浦区梦花街86号,['2022-04-05']
黄浦区梦花街87号,['2022-04-05']
黄浦区梦花街93弄,"['2022-04-05', '2022-03-29']"
黄浦区面筋弄12弄,['2022-04-05']
黄浦区面筋弄60弄,"['2022-04-05', '2022-04-03', '2022-03-30']"
黄浦区南仓街118号,['2022-04-05']
黄浦区南昌路127弄,['2022-04-05']
黄浦区南昌路137-1号,['2022-04-05']
黄浦区南昌路137号,['2022-04-05']
黄浦区南昌路278弄10号,['2022-04-05']
黄浦区南昌路280号,['2022-04-05']
黄浦区南昌路338号,['2022-04-05']
黄浦区南昌路69弄,['2022-04-05']
黄浦区南京西路479弄,['2022-04-05']
黄浦区宁安路133弄,"['2022-04-05', '2022-04-04']"
黄浦区宁波路120弄,['2022-04-05']
黄浦区宁波路201号,['2022-04-05']
黄浦区宁波路262号,['2022-04-05']
黄浦区宁波路284弄,"['2022-04-05', '2022-04-04']"
黄浦区宁波路579号,['2022-04-05']
黄浦区宁波路645号,['2022-04-05']
黄浦区宁波路74弄,"['2022-04-05', '2022-04-03']"
黄浦区宁海东路250弄,['2022-04-05']
黄浦区宁海东路279弄,"['2022-04-05', '2022-04-02']"
黄浦区宁海东路281号,"['2022-04-05', '2022-04-04']"
黄浦区宁海东路299号,['2022-04-05']
黄浦区牛庄路692号,['2022-04-05']
黄浦区牌楼路23号,['2022-04-05']
黄浦区蓬莱路207号,"['2022-04-05', '2022-04-03']"
黄浦区蓬莱路215弄,['2022-04-05']
黄浦区蓬莱路285弄,['2022-04-05']
黄浦区蓬莱路315号,['2022-04-05']
黄浦区蓬莱路391弄,"['2022-04-05', '2022-04-04']"
黄浦区蓬莱路401号,['2022-04-05']
黄浦区蓬莱路405弄,"['2022-04-05', '2022-04-03', '2022-03-27', '2022-03-24']"
黄浦区蓬莱路421弄,"['2022-04-05', '2022-03-29']"
黄浦区平望街15弄,"['2022-04-05', '2022-04-04']"
黄浦区平望街19号,['2022-04-05']
黄浦区平望街21号,['2022-04-05']
黄浦区平望街23号,"['2022-04-05', '2022-04-04']"
黄浦区平望街6弄,['2022-04-05']
黄浦区平望街9号,"['2022-04-05', '2022-04-04']"
黄浦区普育东路7号,"['2022-04-05', '2022-03-29']"
黄浦区瞿溪路1072弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-01', '2022-03-30']"
黄浦区瞿溪路1079号,['2022-04-05']
黄浦区瞿溪路1111弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-02']"
黄浦区瞿溪路1199弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-29']"
黄浦区瞿溪路1200弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-04-02', '2022-04-01', '2022-03-30', '2022-03-29', '2022-03-27']"
黄浦区瞿溪路1240弄,"['2022-04-05', '2022-04-04', '2022-03-29']"
黄浦区瞿溪路1254弄,"['2022-04-05', '2022-04-04']"
黄浦区瞿溪路811弄,"['2022-04-05', '2022-04-04']"
黄浦区瞿溪路833号,"['2022-04-05', '2022-04-04']"
黄浦区瞿溪路860号,['2022-04-05']
黄浦区瞿溪路883弄,['2022-04-05']
黄浦区瞿溪路937弄,"['2022-04-05', '2022-04-03', '2022-04-01', '2022-03-30', '2022-03-22']"
黄浦区瞿溪路968弄,['2022-04-05']
黄浦区人民路777弄,"['2022-04-05', '2022-03-30']"
黄浦区人民路875号,"['2022-04-05', '2022-04-03']"
黄浦区人民路879号,['2022-04-05']
黄浦区瑞金二路129弄,"['2022-04-05', '2022-04-04', '2022-03-29']"
黄浦区瑞金二路139号,['2022-04-05']
黄浦区瑞金二路24号,['2022-04-05']
黄浦区瑞金二路410弄,"['2022-04-05', '2022-04-04', '2022-04-01', '2022-03-30', '2022-03-29', '2022-03-27']"
黄浦区瑞金二路48弄,['2022-04-05']
黄浦区瑞金南路185弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-29']"
黄浦区瑞金南路333弄,"['2022-04-05', '2022-04-03']"
黄浦区瑞金一路126弄,['2022-04-05']
黄浦区山海关路120号,"['2022-04-05', '2022-04-04']"
黄浦区山海关路130号,['2022-04-05']
黄浦区山西南路181号,['2022-04-05']
黄浦区山西南路31弄,['2022-04-05']
黄浦区山西南路330号,['2022-04-05']
黄浦区陕西南路155号,['2022-04-05']
黄浦区陕西南路255号,['2022-04-05']
黄浦区陕西南路271弄,"['2022-04-05', '2022-04-04', '2022-04-03']"
黄浦区陕西南路287弄,"['2022-04-05', '2022-04-04', '2022-04-03']"
黄浦区尚文路168号,['2022-04-05']
黄浦区绍兴路18弄,['2022-04-05']
黄浦区寿宁路61号,['2022-04-05']
黄浦区顺昌路550弄,"['2022-04-05', '2022-04-04', '2022-04-03', '2022-03-30', '2022-03-27', '2022-03-23']"
黄浦区思南路115弄,['2022-04-05']
黄浦区思南路82弄,"['2022-04-05', '2022-04-03', '2022-03-23', '2022-03-22']"
黄浦区思南路88弄,"['2022-04-05', '2022-04-04']"
黄浦区四牌楼路104号,['2022-04-05']
