Address,Coordinates(BD_GCJ)
上海市黄浦区江西中路452号,"[(31.247525857007712, 121.4919360215038), (31.24178528097596, 121.48535230405997)]"
上海市黄浦区江西中路460弄,"[(31.247648653100814, 121.49170039596855), (31.24190496879108, 121.48511755317608)]"
上海市黄浦区江阴街46号,"[(31.219747955089236, 121.50037371532848), (31.21409056426271, 121.49377207943904)]"
上海市黄浦区江阴路106弄,"[(31.235742625011795, 121.47505317791872), (31.229710066089282, 121.46854090030207)]"
上海市黄浦区江阴路111弄,"[(31.235486889286573, 121.4749965846716), (31.229453255165737, 121.46848458901009)]"
上海市黄浦区金陵东路111号,"[(31.23659358002493, 121.49640823548525), (31.230903363702094, 121.4898079607722)]"
上海市黄浦区金陵西路60号,"[(31.22996234836876, 121.47816742346073), (31.223989391260158, 121.47164084529867)]"
上海市黄浦区进贤路138弄,"[(31.227847456002312, 121.46617046354442), (31.22165531659323, 121.45970105662222)]"
上海市黄浦区静修路101号,"[(31.225461158358204, 121.49348991037496), (31.21974003740317, 121.48690065940993)]"
上海市黄浦区静修路104弄,"[(31.225768104909392, 121.49324548144571), (31.220043981487976, 121.48665682950048)]"
上海市黄浦区静修路10弄,"[(31.225386660363835, 121.49508628909676), (31.21968372690932, 121.48849240786305)]"
上海市黄浦区静修路114弄,"[(31.2257417798045, 121.49302979829275), (31.220015008969792, 121.48644184116883)]"
上海市黄浦区静修路126弄,"[(31.22551241911987, 121.48653334267514), (31.21969094362112, 121.479969849048)]"
上海市黄浦区静修路12号,"[(31.225907990679755, 121.49489450087036), (31.22020291204603, 121.4883008786983)]"
上海市黄浦区静修路146号,"[(31.22505554887138, 121.4928007303877), (31.219326018211973, 121.4862138749195)]"
上海市黄浦区静修路50弄,"[(31.22523187418595, 121.49456697868143), (31.219523273967575, 121.48797464258931)]"
上海市黄浦区静修路52号,"[(31.225710591107603, 121.49435686502264), (31.219999561693, 121.48776488078825)]"
上海市黄浦区静修路56号,"[(31.22569561435342, 121.49431635144414), (31.219984127076653, 121.48772449319607)]"
上海市黄浦区静修路64弄,"[(31.22560194525226, 121.49421972371479), (31.21988936844997, 121.4876281978617)]"
上海市黄浦区静修路66号,"[(31.225596180996817, 121.49413947508924), (31.21988268398657, 121.48754818890444)]"
上海市黄浦区静修路68号,"[(31.225590391007735, 121.49412177847069), (31.21987669099094, 121.48753054770238)]"
上海市黄浦区静修路70号,"[(31.22557379303705, 121.49408009709501), (31.219859614290158, 121.48748899867581)]"
上海市黄浦区静修路79弄,"[(31.225607490774465, 121.4938548469884), (31.21989068438217, 121.48726440471545)]"
上海市黄浦区静修路85号,"[(31.2255219919096, 121.49363875959797), (31.219802643148622, 121.48704901876913)]"
上海市黄浦区九江路218号,"[(31.24288495722211, 121.49236325560435), (31.237149388524873, 121.48577594058008)]"
上海市黄浦区局门路295弄,"[(31.210922426988578, 121.48918909308485), (31.205145872333336, 121.48262643370879)]"
上海市黄浦区局门路361弄,"[(31.210057880745012, 121.48861786061106), (31.204272863064464, 121.48205828535148)]"
上海市黄浦区局门路400号,"[(31.20991418786111, 121.48821793499802), (31.20412301296945, 121.48166009335799)]"
上海市黄浦区局门路405弄,"[(31.210017807362163, 121.48883596918887), (31.204236138114755, 121.48227557637576)]"
上海市黄浦区局门路434弄,"[(31.208410534000432, 121.48772763985068), (31.20261202678652, 121.48117328699259)]"
上海市黄浦区局门路620号,"[(31.205462610537584, 121.48922394733863), (31.199687987479898, 121.4826666462487)]"
上海市黄浦区巨鹿路233号,"[(31.228740323750813, 121.47052113679034), (31.22262348023576, 121.46403199553892)]"
上海市黄浦区巨鹿路246号,"[(31.229104308115424, 121.46861861555077), (31.222953510839695, 121.4621380606884)]"
上海市黄浦区老道前街20号,"[(31.22393196898934, 121.49374565795367), (31.218214119030776, 121.48715649233684)]"
上海市黄浦区老道前街68弄,"[(31.223279075953357, 121.49419660731967), (31.217566578913612, 121.48760649463779)]"
上海市黄浦区老重庆中路58号,"[(31.22828717474776, 121.47693396016497), (31.222290875855272, 121.4704140198766)]"
上海市黄浦区丽园路546号,"[(31.213185327601355, 121.48793281282914), (31.207388864888916, 121.48137293946189)]"
上海市黄浦区丽园路588号,"[(31.213043492561717, 121.48720967689361), (31.207235519054155, 121.4806529033018)]"
上海市黄浦区丽园路660号,"[(31.212877490473236, 121.48654879352992), (31.20705876276794, 121.47999495027643)]"
上海市黄浦区丽园路842弄,"[(31.211378208045655, 121.483621395534), (31.205509585619414, 121.47708190846859)]"
上海市黄浦区丽园路871号,"[(31.21267844199958, 121.48247138482013), (31.20678883208983, 121.47593595152684)]"
上海市黄浦区丽园路873号,"[(31.212775263924414, 121.48254324926093), (31.206886934394102, 121.4760073887117)]"
上海市黄浦区丽园路875号,"[(31.212645009844376, 121.48247937973917), (31.206755553278693, 121.47594394105519)]"
上海市黄浦区柳江街19号,"[(31.22479368509414, 121.49663604576257), (31.219106470643553, 121.49003847433157)]"
上海市黄浦区鲁班路277弄,"[(31.2104027118818, 121.4818030455207), (31.204501468626763, 121.47527295883903)]"
上海市黄浦区鲁班路388弄,"[(31.207353004735936, 121.481238999491), (31.201442153296846, 121.4747146396006)]"
上海市黄浦区鲁班路509弄,"[(31.206749413937416, 121.48325407841098), (31.20087542727762, 121.47672090234117)]"
上海市黄浦区鲁班路721弄,"[(31.202508107897504, 121.48468633671608), (31.19666048238569, 121.47815096006218)]"
上海市黄浦区鲁班路738弄,"[(31.19988803425617, 121.4849409164976), (31.19404547420715, 121.4784069839811)]"
上海市黄浦区鲁班路776弄,"[(31.198909483978525, 121.4851880403434), (31.193071413259567, 121.47865395170201)]"
上海市黄浦区鲁班路778弄,"[(31.19804166071538, 121.48569845753417), (31.192212490304087, 121.47916295118436)]"
上海市黄浦区陆家浜路1235弄,"[(31.21779288066205, 121.49196395880517), (31.21205389257409, 121.48538494425813)]"
上海市黄浦区陆家浜路305弄,"[(31.21716202595311, 121.50738552881717), (31.211523391243748, 121.50078130773016)]"
上海市黄浦区陆家浜路525号,"[(31.218080628057024, 121.5044848104949), (31.21244015272288, 121.49788024242488)]"
上海市黄浦区露香园路166号,"[(31.23059087040592, 121.49208205903057), (31.224851533046685, 121.48549523507198)]"
上海市黄浦区露香园路18号,"[(31.232663714945556, 121.49112071942295), (31.22691135110045, 121.4845367303594)]"
上海市黄浦区露香园路45弄,"[(31.23267648164819, 121.49141236467185), (31.226928100948207, 121.48482734950014)]"
上海市黄浦区露香园路88弄,"[(31.23183534223644, 121.4916101162648), (31.226089671591573, 121.48502458353198)]"
上海市黄浦区马当路320号,"[(31.223012189076673, 121.48129568256866), (31.217098867348035, 121.47475735141526)]"
上海市黄浦区马当路418弄,"[(31.219874107444824, 121.4816494352785), (31.213967872907645, 121.47511162565516)]"
上海市黄浦区马当路444号,"[(31.218967952997705, 121.48190419472112), (31.21306657568992, 121.47536588537069)]"
上海市黄浦区茂名南路169弄,"[(31.221248493144664, 121.46913352426908), (31.215107839377524, 121.46265488102513)]"
上海市黄浦区茂名南路58号,"[(31.22566488883991, 121.4661380347155), (31.219472484269897, 121.45966979010927)]"
上海市黄浦区蒙自路395弄,"[(31.208556854464472, 121.48617231369069), (31.202732968082277, 121.47962432184711)]"
上海市黄浦区蒙自路490弄,"[(31.20723285827842, 121.48548061844801), (31.201397658594782, 121.47893695821466)]"
上海市黄浦区蒙自路601弄,"[(31.205122548647797, 121.48752812619689), (31.199321716931987, 121.48097792337686)]"
上海市黄浦区蒙自西路14号,"[(31.21346907424592, 121.4831213088566), (31.207591005977484, 121.47658211310656)]"
上海市黄浦区蒙自西路2号,"[(31.213551920382958, 121.48335253269487), (31.207677972828265, 121.47681219556381)]"
上海市黄浦区梦花街113号,"[(31.22459165113084, 121.49419678698077), (31.21887895401936, 121.48760588467233)]"
上海市黄浦区梦花街115号,"[(31.224576983000347, 121.49416974798491), (31.218863977803462, 121.48757893378934)]"
上海市黄浦区梦花街13弄,"[(31.22366492957156, 121.49248865905355), (31.217931654641657, 121.48590362918694)]"
上海市黄浦区梦花街151号,"[(31.22432237476919, 121.4936189070462), (31.218602961012675, 121.4870298964542)]"
上海市黄浦区梦花街163弄,"[(31.224326157613344, 121.49339019846336), (31.21860399692292, 121.48680189126003)]"
上海市黄浦区梦花街185号,"[(31.22416473039286, 121.49293367960318), (31.21843699160682, 121.48634690667745)]"
上海市黄浦区梦花街18弄,"[(31.225192424899678, 121.49583821572386), (31.21949735878127, 121.48924242545235)]"
上海市黄浦区梦花街234号,"[(31.223861870250904, 121.49237466408432), (31.218127102985093, 121.4857898899136)]"
上海市黄浦区梦花街36号,"[(31.22510271824159, 121.49554586219566), (31.219404672591956, 121.4889508898168)]"
上海市黄浦区梦花街57弄,"[(31.22503987720957, 121.49505489331918), (31.219336654568906, 121.4884612879238)]"
上海市黄浦区梦花街66弄,"[(31.224820705270147, 121.49509149926871), (31.21911790749704, 121.48849791504927)]"
上海市黄浦区梦花街73弄,"[(31.224742037936004, 121.49469831094699), (31.219034966725747, 121.48810587196431)]"
上海市黄浦区梦花街78弄,"[(31.224735784690697, 121.49490393307822), (31.219030970993153, 121.48831091788323)]"
上海市黄浦区梦花街79号,"[(31.224829120123374, 121.49469238213062), (31.219121970750127, 121.48809991085328)]"
上海市黄浦区梦花街82号,"[(31.22473516708621, 121.49486782119672), (31.21902995967112, 121.48827490752603)]"
上海市黄浦区梦花街86号,"[(31.224697956407777, 121.49479559743372), (31.218991963581143, 121.488202908048)]"
上海市黄浦区梦花街87号,"[(31.2247899794694, 121.49461108548198), (31.219081933647104, 121.48801886801375)]"
上海市黄浦区梦花街93弄,"[(31.224746515568178, 121.49447068033076), (31.21903690543078, 121.48787889093755)]"
上海市黄浦区面筋弄12弄,"[(31.226327415138474, 121.5047955343708), (31.22068610655108, 121.49818530651422)]"
